,dataset,subsample_n,method,val_nll,val_accuracy,test_nll,test_accuracy,data_seed
89,cc18_29,-1,ag-bagging,0.5261923519666517,0.6923076923076923,0.4986379721477119,0.7350427350427351,11
90,cc18_27,-1,ag-bagging,0.1773816147033122,0.9298245614035088,0.0700596403639113,0.9912280701754386,10
91,cc18_9,-1,ag-bagging,0.3753233167719604,0.8518518518518519,0.4320154735178149,0.7685185185185185,8
92,cc18_2,-1,ag-bagging,0.0920378752901953,0.976,0.1340056930040808,0.96,14
93,cc18_6,-1,ag-bagging,0.0064526066184788,1.0,0.0067449722417508,1.0,13
94,cc18_17,-1,ag-bagging,0.4486878594662359,0.805,0.5201281541179285,0.765,5
95,cc18_15,-1,ag-bagging,0.00538656861081,1.0,0.0059083914655915,1.0,13
96,cc18_19,-1,ag-bagging,0.0247036269459962,0.9875,0.0460233121519312,0.98125,9
97,cc18_22,-1,ag-bagging,0.2492692602316732,0.8977635782747604,0.2417075644042906,0.8977635782747604,12
98,cc18_6,-1,ag-bagging,0.0471797376355133,1.0,0.0537119328140002,0.9974293059125964,6
99,cc18_4,-1,ag-bagging,0.0494114460518718,1.0,0.0563304188568919,0.9975,12
100,cc18_9,-1,ag-bagging,0.3903132912532732,0.8148148148148148,0.3688902361247801,0.8333333333333334,10
101,cc18_23,-1,ag-bagging,0.06365175994105,1.0,0.0636353865366774,1.0,9
102,cc18_10,-1,ag-bagging,0.0858314383592867,0.9857142857142858,0.1096836568551641,0.9714285714285714,14
103,cc18_25,-1,ag-bagging,3.149604767311531e-07,1.0,3.343400403740695e-07,1.0,6
104,cc18_14,-1,ag-bagging,0.0080246988519432,1.0,0.0072831642918315,0.9975,13
105,cc18_5,-1,ag-bagging,0.0452144718908162,1.0,0.0461938497603399,1.0,12
106,cc18_25,-1,ag-bagging,3.168833085694211e-07,1.0,4.187573966364939e-07,1.0,13
107,cc18_21,-1,ag-bagging,0.134886490686542,0.952054794520548,0.207061197923605,0.9075342465753424,10
108,cc18_4,-1,ag-bagging,0.0504737489016111,1.0,0.0550630459740817,0.9975,14
109,cc18_25,-1,ag-bagging,1.7673219889228396e-07,1.0,5.249917061907076e-05,1.0,5
110,cc18_21,-1,ag-bagging,0.1893833708275026,0.9212328767123288,0.2195438709264238,0.8972602739726028,7
111,cc18_10,-1,ag-bagging,0.0523624473799721,0.9857142857142858,0.1164388029133484,0.9642857142857144,10
112,cc18_1,-1,ag-bagging,0.4598294650379013,0.78,0.4444043369679235,0.7733333333333333,10
113,cc18_13,-1,ag-bagging,0.7671130681522947,0.6462585034013606,0.6630948202071841,0.7297297297297297,12
114,cc18_20,-1,ag-bagging,0.465738191972675,0.7857142857142857,0.4326371265207996,0.7727272727272727,5
115,cc18_27,-1,ag-bagging,0.0734128260599275,0.9649122807017544,0.0506399045683478,0.9736842105263158,8
116,cc18_18,-1,ag-bagging,0.0019448265669003,1.0,0.0022363971457993,1.0,9
117,cc18_8,-1,ag-bagging,0.019925212262141,0.9971098265895952,0.0296640457792958,0.9913294797687862,10
118,cc18_22,-1,ag-bagging,0.1986361129119293,0.9105431309904152,0.256615630570227,0.8977635782747604,6
119,cc18_4,-1,ag-bagging,0.006772442688232,0.9975,0.0092521782199609,1.0,8
120,cc18_27,-1,ag-bagging,0.0385513678839039,0.9824561403508772,0.0695717888184279,0.9736842105263158,14
121,cc18_9,-1,ag-bagging,0.4546254147413225,0.7685185185185185,0.3647508825199238,0.8333333333333334,12
122,cc18_27,-1,ag-bagging,0.0822478501062356,0.956140350877193,0.0723169549114456,0.9736842105263158,6
123,cc18_24,-1,ag-bagging,0.0001396910845248,1.0,0.0005130537296595,1.0,14
124,cc18_11,-1,ag-bagging,0.0965554133627808,1.0,0.0996134371101862,1.0,13
125,cc18_26,-1,ag-bagging,0.4384389465881989,0.7810650887573964,0.4498600086792311,0.7470588235294118,12
126,cc18_8,-1,ag-bagging,0.0384389817117362,0.9884393063583816,0.0320430986293833,0.9913294797687862,7
127,cc18_16,-1,ag-bagging,0.1257494759522051,0.9492753623188406,0.1111733607926587,0.9565217391304348,14
